X,rating_review,review,lang$detectedLanguage,lang
6,1,"Tolong diperbaiki!!! .. Di aplikasi driver belum masuk..driver sdh tlp, ",INDONESIAN,INDONESIAN
13,1,"Penentuan alamat mengandalkan GPS nggak akurat. Nggak bisa ketik alamat. Susah mau nwntuin koordinat, sll salah nomor rumah. ",INDONESIAN,INDONESIAN
18,1,Pelayanan yang sampah banget untuk gojek cikarang ,INDONESIAN,INDONESIAN
26,1,"udah dari kemarin saya nggak bisa buka saldo Go-Pay. unable to load terus, trus lama lama malah ngecrash sendiri. tolong segera dibenahi. gimana mau bayar via Go-Pay kalau gini terus, masih ada saldo disitu. ",INDONESIAN,INDONESIAN
28,1,Terlalu mahal ,MALAY,MALAY
29,1,Give me back my deposit 500k ,ENGLISH,ENGLISH
31,1,"Go food drivernya manja, jauh dikit ga bisa anter ",INDONESIAN,INDONESIAN
35,1,Baru pasang aplikasinya di hp trs coba pake gopay tapi sampai 5 hari saldo tidak bertambah n customer service sama sekali tidak membantu .. fiuh ,INDONESIAN,INDONESIAN
43,1,"WORST, GOPAY GW KAGAK MASUK2 DARI KEMARIN, UDAH EMAIL COSTUMER SERVICE DIA BILANG CUMAN SURUH NUNGGU, FIXXXX GW PINDAH KE OJEK ONLINE YANG LAIN, LEBIH MURAH JUGA ",ENGLISH,ENGLISH
47,1,bad app ever ,ENGLISH,ENGLISH
51,1,Goblok gabisa setting pick up GoCar dia malah kemana tau ,MALAY,MALAY
72,1,I've never even use this gojek thing. I AM really interested though. ,ENGLISH,ENGLISH
74,1,"Ga ada driver yg ambil orderannnnnnn payaaah udah berkali kali coba order tetep aja, sekalinya ada yg ambil langsung cancel ilang balik nunggu driver lagi tapi ga adaaa ",MALAY,MALAY
82,1,Gojek terlalu lama ,MALAY,MALAY
101,1,Anjing ni aplikasi Bikin error hp iklan nya Muncul terus kalau pasang dara seluler Hp gue jadi error gara gara iklannya kalau hp saya rusak Gimana saya minwta ganti rugi ini saya tulis aja susah bisa sampai 1 jam saya mau coment gara gara iklan hp jadi lalot dan error kemarin aja hp ku hampir rusak kalau rusak beneran tanggung jawab Anjingggggue gk bercanda hp gue masih baru gk sampai 1thn masa udah rusak ,INDONESIAN,INDONESIAN
109,1,Kok kode verifikasinya gak dikirim?;!!kan saya udh kasih no.hp sya!!aplikasi macam apa ini!!!!! ,INDONESIAN,INDONESIAN
119,1,"Saya ingin mendaftar pas udah mau verifikasi kok malah ngirimnya ke nomor hp saya yg lama padahal daftarnya pake nomor hp yg baru, dan di gmail saya udah ganti pake nomor baru juga, itu gimana ya? ",INDONESIAN,INDONESIAN
147,1,"Driver sulit,gojek sudah tak seperti dulu.... ",MALAY,MALAY
155,1,"Dulu kalau hujan cari driver susah, jaringan jelek bgt,sekarang gak hujan jg FC mulu,kadang hrga gak sesuai sama yg di totalkan ,ditambah fitur telfon donk,supya lbih mudah hubungin gojek yang gak nyampe nyampe ",MALAY,MALAY
157,1,Aplikasi apaan nih pesan go food ga d ambil2..dasar aplikasi indo ,INDONESIAN,INDONESIAN
158,1,Saya verifikasi akun gopay di tolak terus mksdnya apa?? Gak niat aplikasinya kah?? Kalau gak niat gak usah biat fiturnya!!! ,MALAY,MALAY
161,1,Go car di bali susah amat padahal saya di kute ,MALAY,MALAY
169,1,KECEWA ,ENGLISH,ENGLISH
171,1,Coba pakai gambar menu menunya jd enk tau bentuk nya. ,MALAY,MALAY
174,1,"Setiap kali pesan go good sllu nggak dpt driver mulu-, ",MALAY,MALAY
181,1,Setiap order gofood selalu dicancel driver!! Cari driver jangan yang suka php dong!! ,MALAY,MALAY
197,1,Parah sih mengecewakan pakai tarik dari aplikasi gojek. Kalo emg belom bisa gausah dibuat deh,MALAY,MALAY
203,1,Masa seblak 11ribu jadi 110ribu :') ,MALAY,MALAY
206,1,aplikasi KONTOOOOLLLLLLLLL ,INDONESIAN,INDONESIAN
222,1,"Makanya jgn pake pay pay apalah, tau kenapa driver jarang ngambil? TRANSFERAN DARI KANTOR NGARET! ngga grab, uber, gojek maunya pada pake pay semua, lu kira bensin pake aer? Ngotak dikit ",INDONESIAN,INDONESIAN
229,1,"Saya lg pesen gojek,lama menunggu blom ada driver yg datang,apa saya pakai gopay jd gk ada yg datang,tak cancel lalu pesen lagi,eh udah nyantol gojek satu tp saya blom di jemput udah di selesaikan,trpaksa saya pulang naik gojek lain dgn offline,karna udah malem kasihan juga anak saya.tlg perbaiki gojek masa gk di anter udah di selesaiin,rugi gopay saya ",MALAY,MALAY
262,1,Sory lg ga butuh saya ada motor ,INDONESIAN,INDONESIAN
