"","X","rating_review","review","lang","tag","satisfaction_score","review_importance_percentage"
"1",1,5,"tolong di adakan training stiap bulannya agar smua driver bisa membaca gps terima kasih ","MALAY","Location Services","Satisfied","75"
"2",2,5,"useful apps i used to do ","ENGLISH","Design & UI","Satisfied","0"
"3",3,5,"i can t use my token to play after the last 2 updates please fix this ","ENGLISH","Customer Request","Satisfied","75"
"4",4,5,"very helpful ","ENGLISH","Satisfied Users","Satisfied","25"
"5",5,4,"great ","ENGLISH","Satisfied Users","Satisfied","25"
"6",6,1,"tolong diperbaiki di aplikasi driver belum masuk driver sdh tlp ","INDONESIAN","Customer Request","Dissatisfied","90"
"7",7,5,"gopay napa ga bisa buat booking ride gw coba terus malah keluar kata anda terlalu banyak memesan coba lagi sejam kedepan padahal emang ga bisa bukan gw yg batalkan payah ","MALAY","Design & UI","Satisfied","90"
"8",8,4,"it helped ","ENGLISH","Satisfied Users","Satisfied","25"
"9",9,5,"keren ","ENGLISH","Satisfied Users","Satisfied","25"
"10",10,4,"easy to use ","ENGLISH","Satisfied Users","Satisfied","50"
"11",11,2,"dulu gampang cari go points sekali main dapat ratusan sekarang dibawah 10 terus peliiitttt mana gua gapernah dapet voucher gopay gratis kayak yg laen males lah ","MALAY","Design & UI","Dissatisfied","90"
"12",12,5,"good ","ENGLISH","Satisfied Users","Satisfied","25"
"13",13,1,"penentuan alamat mengandalkan gps nggak akurat nggak bisa ketik alamat susah mau nwntuin koordinat sll salah nomor rumah ","INDONESIAN","Location Services","Dissatisfied","90"
"14",14,5,"5 stars by abdul mubdi ardiansar","ENGLISH","Satisfied Users","Satisfied","25"
"15",15,5,"bagus banget selamatkan aku di kota besar makasih go jek ","MALAY","Satisfied Users","Satisfied","50"
"16",16,5,"sangat u 200b bermanfaat ","INDONESIAN","Satisfied Users","Satisfied","0"
"17",17,5,"bagus kok ","INDONESIAN","Satisfied Users","Satisfied","25"
"18",18,1,"pelayanan yang sampah banget untuk gojek cikarang ","INDONESIAN","Customer Support","Dissatisfied","90"
"19",19,5,"tetap tingkatkan pelayanan menjadi lebih baik lagi untuk kepuasan pelanggan ","MALAY","Customer Support","Satisfied","90"
"20",20,2,"update app dengan nomor dan password lewat sms gak bisa dienter otp ehhhh kok malah diblokir dicoba coba lagi saking bingungnya mendingan balik lagi ke versi dulu aja email dan paswword aja skrg ribet dah kirim email ke cs gojek jga gak dibales kapan jalaannyaaaaaa ini ","INDONESIAN","Satisfied Users","Dissatisfied","25"
"21",21,5,"less price gojek will be a champion ","ENGLISH","Pricing","Satisfied","0"
"22",22,5,"terima kasih sangat membantu semoga pelayanan lebih baik lagi ","MALAY","Customer Support","Satisfied","90"
"23",23,5,"great apps ","ENGLISH","Satisfied Users","Satisfied","25"
"24",24,5,"pake go jek bagus kali ga usah ke mana mana kalo mau beli makan tinggal buka hp pesan go jek ok jek ","INDONESIAN","Satisfied Users","Satisfied","0"
"25",25,5,"gooood ","ENGLISH","Satisfied Users","Satisfied","25"
"26",26,1,"udah dari kemarin saya nggak bisa buka saldo go pay unable to load terus trus lama lama malah ngecrash sendiri tolong segera dibenahi gimana mau bayar via go pay kalau gini terus masih ada saldo disitu ","INDONESIAN","Bug","Dissatisfied","90"
"27",27,5,"thanks ","ENGLISH","Satisfied Users","Satisfied","25"
"28",28,1,"terlalu mahal ","MALAY","Pricing","Dissatisfied","90"
"29",29,1,"give me back my deposit 500k ","ENGLISH","Disatisfied Users","Dissatisfied","90"
